Param 2 Return Timeframe,HUD CoC Number,2015,2016,2017,2018,2019,2020,2021
12%,IL-501,,,11.60%,,,,
12%,MI-523,,,,11.60%,,,
12%,GA-501,,,,,,,11.60%
12%,TN-503,,,,,,,11.60%
12%,NV-502,,,,,11.70%,,
12%,SC-501,,,,11.70%,,,
12%,MD-508,,,,11.70%,,,
12%,MI-504,,,,,,11.70%,
12%,NJ-501,11.70%,,,,,,
12%,SC-501,,,,,,,11.70%
12%,WA-500,11.70%,,,,,,
12%,NY-522,,,,,,,11.70%
12%,MO-500,11.70%,,,,,,
12%,LA-508,11.70%,,,,,,
12%,TN-509,,,11.80%,,,,
12%,CA-501,,,,,,,11.80%
12%,CA-606,,,,,11.80%,,
12%,AL-503,,,,11.80%,,,
12%,GA-504,,,11.80%,,,,
12%,NY-504,,,11.80%,,,,
12%,NY-514,,,,,11.80%,,
12%,TX-600,,,11.80%,,,,
12%,MA-506,,,,,,,11.80%
12%,CO-505,,,,11.80%,,,
12%,MN-503,11.80%,,,,,,
12%,MN-506,,11.80%,,,,,
12%,SC-500,11.80%,,,,,,
12%,NY-504,,,,,11.80%,,
12%,VA-600,,,,,,,11.80%
12%,NJ-500,,,11.80%,,,,
12%,VA-600,,,,,,11.80%,
12%,NJ-516,,,,,,,11.80%
12%,IL-502,,,,,,11.80%,
12%,LA-505,11.80%,,,,,,
12%,MO-500,,,11.80%,,,,
12%,CA-521,,,,,,,11.90%
12%,TX-624,,,,11.90%,,,
12%,PA-510,,,11.90%,,,,
12%,NC-502,,,,,,,11.90%
12%,MA-504,,,,,,11.90%,
12%,HI-500,,,,,,,11.90%
12%,GA-505,,,,11.90%,,,
12%,LA-505,,,11.90%,,,,
12%,PA-504,11.90%,,,,,,
12%,MA-508,,,11.90%,,,,
12%,MA-511,,,,,,11.90%,
12%,PA-509,,,,,,11.90%,
12%,CA-607,,11.90%,,,,,
12%,GA-506,,,,11.90%,,,
12%,FL-511,,,,,,,12.00%
12%,PA-511,,,12.00%,,,,
12%,OR-502,,,,,,,12.00%
12%,CA-523,,,,,12.00%,12.00%,
12%,NC-509,,,12.00%,,,,
12%,NJ-516,,12.00%,,,,,
12%,NJ-502,,,,,,,12.00%
12%,PA-508,,12.00%,,,,,
12%,MA-510,,12.10%,,,,,
12%,WA-500,,12.10%,,,,,
12%,OK-507,,,12.10%,,,,
12%,TN-504,,,12.10%,,,,
12%,MN-511,,,,,,,12.10%
12%,CA-506,,,,,12.10%,,
12%,MD-503,,,,,,12.10%,
12%,NJ-502,12.10%,,,,,,
12%,NY-501,,12.10%,,,,,
12%,TX-624,,,12.10%,,,,
12%,OH-508,,,12.10%,,,,
12%,FL-602,,,,12.10%,,,
12%,NJ-504,,,,12.10%,12.10%,,
12%,FL-602,,,12.10%,,,,
12%,PA-501,,,12.10%,,,,
12%,CA-503,12.10%,,,,,,
12%,NJ-515,,,,12.20%,,,
12%,MO-500,,,,,12.20%,,
12%,CO-503,,,,,12.20%,,
12%,GA-501,,,,,,12.20%,
12%,GA-505,,,,,,12.20%,
12%,LA-506,12.20%,,,,,,
12%,TN-503,,,,12.20%,,,
12%,VA-505,,,,,,,12.20%
12%,MI-523,,,,,12.20%,,
12%,MI-509,,,,,,,12.20%
12%,CA-506,,,,12.30%,,,
12%,MA-502,,,,12.30%,,,
12%,MN-511,,,,,12.30%,,
12%,NJ-507,12.30%,,,,,,
12%,FL-503,,,,,,12.30%,
12%,KY-500,,12.30%,,,,,
12%,NY-607,,,12.30%,,,,
12%,MA-507,12.30%,,,,,,
12%,GA-508,,,12.30%,,,,
12%,MO-606,,,,,,,12.30%
12%,NY-516,,,12.30%,,,,
12%,GA-501,,,12.30%,,,,
12%,TX-701,,,,,12.30%,,
12%,NM-501,12.30%,,,,,,
12%,MA-509,,12.30%,,,,,
12%,VA-521,,,,,,,12.30%
12%,WA-507,,12.40%,,,,,
12%,FL-505,,,,12.40%,,,
12%,MA-506,,,,,,12.40%,
12%,NY-522,,,,,,12.40%,
12%,MA-515,,12.40%,,,,,
12%,NJ-501,,,,12.40%,,,
12%,VA-508,12.40%,,,,,,
12%,SC-503,,,,,,12.40%,
12%,TN-502,,,,12.40%,,,
13%,AK-501,,,12.50%,,,,
13%,KS-503,,,,,12.50%,,
13%,MD-600,,,,,,,12.50%
13%,MD-600,,,,,12.50%,,
13%,NJ-503,12.50%,,,,,,
13%,CO-500,,,,,,12.50%,
13%,PR-503,,,12.60%,,,,
13%,KY-500,12.60%,,,,,,
13%,CO-505,,,,,,12.60%,
13%,MA-509,,,,,12.60%,,
13%,TN-504,,,,,,,12.60%
13%,NY-510,12.60%,,,,,,
13%,MS-500,,,,,12.60%,,
13%,MA-511,,12.60%,,,,,
13%,VT-500,,,,,,,12.70%
13%,CA-506,,,12.70%,,,,
13%,MI-523,,,12.70%,,,,
13%,OK-500,,,12.70%,,,,
13%,IL-503,,12.70%,,,,,
13%,NY-606,,,,,,12.70%,
13%,AL-503,,,,,,,12.70%
13%,IL-512,,,,,12.70%,,
13%,CA-602,,,,12.70%,,,
13%,VT-501,,,,,,12.70%,
13%,IL-512,,12.70%,,,,,
13%,NY-606,,,,12.70%,,,
13%,CA-510,12.70%,,,,,,
13%,VT-500,,,,12.70%,,,
13%,GU-500,12.70%,,,,,,
13%,MA-500,,,,,,,12.80%
13%,NM-501,,,,,,12.80%,
13%,CA-524,,,,12.80%,,,
13%,NY-604,,,,,,,12.80%
13%,MA-507,,,,12.80%,,,
13%,FL-602,,,,,,12.80%,
13%,LA-507,,,,,,,12.80%
13%,VA-507,,,,12.80%,,,
13%,NY-607,,12.80%,,,,,
13%,NJ-514,12.80%,,,,,,
13%,IL-512,,,,,,,12.80%
13%,CO-500,,,,,12.80%,,
13%,FL-504,,,,,,12.80%,
13%,MN-503,,12.80%,,,,,
13%,OK-506,,12.80%,,,,,
13%,PA-503,12.90%,,,,,,
13%,MA-502,,,,,,,12.90%
13%,NH-501,,,,12.90%,,,
13%,MD-506,,,,12.90%,,,
13%,SC-503,,12.90%,,,,,
13%,AR-501,,,12.90%,,,,
13%,CA-520,,,,,12.90%,,
13%,TN-500,,,,,,12.90%,
13%,OK-505,,,,,12.90%,,
13%,IL-509,12.90%,,,,,,
13%,OK-507,,12.90%,,,,,
13%,VA-521,,,12.90%,,,,
13%,MA-503,,12.90%,,,,,
13%,LA-500,,,12.90%,,,,
13%,GA-503,,,,,,13.00%,
13%,MA-507,,,,,13.00%,,
13%,NY-522,,13.00%,,,,,
13%,FL-511,13.00%,,,,,,
13%,NY-525,,,,,13.00%,,
13%,MS-500,13.00%,,,,,,
13%,OR-504,,,,,,13.00%,
13%,NJ-515,,,,,,13.00%,
13%,TN-501,,13.00%,,,,,
13%,FL-505,,,,,13.00%,,
13%,CO-503,,,,13.00%,,,
13%,IL-515,13.00%,,,,,,
13%,NJ-510,,,13.00%,,,,
13%,NY-520,,13.00%,13.00%,,,,
13%,MA-515,13.10%,,,,,,
13%,OH-508,,13.10%,,,,,
13%,HI-501,,,,,,13.10%,
13%,TN-509,,,,,,,13.10%
13%,IL-511,,,,,,,13.10%
13%,CA-518,,,,,,,13.10%
13%,GU-500,,,,13.10%,,,
13%,FL-514,,,,,,,13.20%
13%,SC-503,,,13.20%,,,,
13%,NY-522,,,,13.20%,,,
13%,TX-604,,,13.20%,,,,
13%,OK-502,,,,,,,13.20%
13%,ID-501,,,,,13.20%,,
13%,CA-514,,,,,13.20%,,
13%,FL-519,,,,,,,13.20%
13%,MD-600,,,,,,13.20%,
13%,VA-521,,,,,,13.20%,
13%,MO-602,,,,,13.30%,,
13%,NJ-516,,,,13.30%,,,
13%,FL-515,13.30%,,,,,,
13%,MA-511,,,,,,,13.30%
13%,NH-501,,,13.30%,,,,
13%,VT-501,,,,,,,13.30%
13%,MD-508,13.30%,,,,,,
13%,SC-503,,,,,13.30%,,
13%,CA-602,,13.30%,,,,,
13%,FL-602,13.30%,,,,,,
13%,MO-500,,,,13.30%,,,
13%,FL-509,,,,,,,13.30%
13%,KS-505,,,13.30%,,,,
13%,MA-509,,,,13.30%,,,
13%,NY-520,,,,,,,13.30%
13%,PR-503,13.30%,,,,,,
13%,AL-501,,,,13.40%,,,
13%,CA-506,,13.40%,,,,,
13%,OK-506,13.40%,,,,,,
13%,PR-503,,,,,,13.40%,
13%,MO-501,,,,13.40%,,,
13%,MA-507,,,13.40%,,,,
13%,NJ-510,,,,,,13.40%,
13%,CA-514,,,,,,13.40%,
13%,NY-512,,13.40%,,,,,
13%,FL-511,,13.50%,,,,,
13%,CA-518,,,,13.50%,,,
13%,PA-510,,13.50%,,,,,
13%,FL-510,,,,13.50%,,,
13%,TN-504,,13.50%,,,,,
14%,WA-503,,,13.50%,,,,
14%,CA-507,,,,,13.50%,,
14%,IL-508,,,,,,13.50%,
14%,IL-520,,13.50%,,,,,
14%,MN-503,,,,,,13.50%,
14%,SD-500,13.60%,,,,,,
14%,KY-500,,,,,,13.60%,
14%,CA-600,13.60%,,,,,,
14%,NY-511,,,13.60%,,,,
14%,AL-504,,13.60%,,,,,
14%,CA-514,,,13.60%,,,,
14%,KY-500,,,,13.60%,,,
14%,UT-504,13.60%,,,,,,
14%,WI-502,,13.60%,,,,,
14%,IL-520,,,,,13.60%,,
14%,VA-521,,,,,13.60%,,
14%,CA-609,,,,,,13.60%,
14%,MD-501,13.60%,,,,,,
14%,TX-604,,,,,13.60%,,
14%,VA-602,13.60%,,,,,,
14%,CA-507,,,,13.60%,,,
14%,MO-602,,,,,,13.70%,
14%,KY-500,,,,,13.70%,,
14%,VA-505,,,,,13.70%,,
14%,CA-603,,,,,,,13.70%
14%,FL-509,,,13.70%,,,,
14%,LA-509,,,,,,13.70%,
14%,MO-602,,,13.70%,,,,
14%,VA-521,,,,13.70%,,,
14%,GA-501,13.70%,,,,,,
14%,OK-505,,,,,,,13.70%
14%,MI-503,,,,,,13.70%,
14%,SC-501,,,,,,13.70%,
14%,ID-501,,,,,,13.70%,
14%,CA-506,13.80%,,,,,,
14%,CA-508,13.80%,,,,,,
14%,WA-503,,,,13.80%,,,
14%,MD-601,13.80%,,,,,,
14%,FL-510,,,13.80%,,,,
14%,WA-501,,13.80%,,,,,
14%,MN-505,,,,,,,13.80%
14%,PA-600,13.80%,,,,,,
14%,IL-519,,,,,13.90%,,
14%,CA-514,,,,,,,13.90%
14%,CA-522,,,,,,,13.90%
14%,FL-505,,,,,,13.90%,
14%,MI-502,,,,,,13.90%,
14%,GA-505,,,,,13.90%,,
14%,TN-502,,,,,,13.90%,
14%,CA-515,,,,13.90%,,,
14%,MA-506,,,,,13.90%,,
14%,FL-605,13.90%,,,,,,
14%,AZ-500,,,,,,,13.90%
14%,MN-501,,,,,,,13.90%
14%,NC-503,,,,,,13.90%,
14%,KY-500,,,,,,,13.90%
14%,ID-501,,,,,,,13.90%
14%,NJ-502,,,,,14.00%,,
14%,UT-504,,,,,,14.00%,
14%,VI-500,,,,,,14.00%,
14%,FL-602,,,,,14.00%,,
14%,LA-507,,14.00%,,,,,
14%,TN-509,,,,,,14.00%,
14%,LA-500,,,,,,,14.00%
14%,MO-603,,,,,,,14.00%
14%,NC-513,,,,,14.00%,,
14%,GU-500,,,14.00%,,,,
14%,CA-514,,,,14.00%,,,
14%,VA-503,,,14.00%,,,,
14%,PA-603,,,,14.00%,,,
14%,VT-500,,,,,,14.00%,
14%,TN-501,14.00%,,,,,,
14%,MA-509,14.00%,,,,,,
14%,AR-503,,,,,,,14.10%
14%,MN-505,,,,14.10%,,,
14%,MD-506,14.10%,,,,,,
14%,CA-501,14.10%,,,,,,
14%,MD-504,,14.10%,,,,,
14%,NJ-516,,,14.10%,,,,
14%,FL-505,,14.10%,,,,,
14%,MD-500,,14.10%,,,,,
14%,MN-505,14.10%,,,,,,
14%,MO-600,,,,14.10%,,,
14%,MD-501,,,,14.10%,,,
14%,WV-500,,,,,,,14.10%
14%,MD-501,,,14.10%,,,,
14%,TX-607,,,,14.10%,,,
14%,MA-507,,,,,,,14.10%
14%,OR-502,,,,14.10%,,,
14%,NY-523,,,14.10%,,,,
14%,MD-501,,14.10%,,,,,
14%,FL-504,,,14.10%,,,,
14%,VA-513,,,14.10%,,,,
14%,FL-511,,,,,,14.10%,
14%,MO-600,,,,,,14.20%,
14%,CA-508,,,14.20%,,,,
14%,MN-505,,,,,,14.20%,
14%,NY-522,,,14.20%,,,,
14%,CA-519,,,,,,,14.20%
14%,OK-505,,,14.20%,,,,
14%,CA-508,,,,,,14.20%,
14%,CA-522,,,,,14.20%,,
14%,ID-501,14.20%,,,,,,
14%,MA-500,,,,,14.20%,,
14%,PA-508,,,,,,,14.20%
14%,MI-503,,,,14.20%,,,
14%,PA-508,14.20%,,,,,,
14%,VA-501,,,,14.20%,,,
14%,MA-509,,,,,,,14.20%
14%,TN-500,,,14.20%,,,,
14%,WA-500,,,14.20%,,,,
14%,AL-504,,,,,14.20%,,
14%,AR-503,,14.30%,,,,,
14%,IL-520,,,,,,14.30%,
14%,OK-500,,,,,,,14.30%
14%,VT-500,,,14.30%,,,,
14%,MD-501,,,,,14.30%,,
14%,VA-502,,14.30%,,,,,
14%,OR-502,,,,,14.30%,,
14%,AL-504,,,,,,14.30%,
14%,HI-501,,,,,,,14.30%
14%,SC-501,14.30%,,,,,,
14%,FL-510,,,,,14.40%,,
14%,VA-521,14.40%,,,,,,
14%,CA-521,,,,14.40%,,,
14%,IL-503,,,,,,14.40%,
14%,AL-504,,,,,,,14.40%
14%,TN-500,,14.40%,,,,,
14%,MD-511,,14.40%,,,,,
14%,MN-506,14.40%,,,,,,
14%,VA-600,,,,,14.40%,,
14%,NY-522,,,,,14.40%,,
14%,OK-500,,,,,,14.40%,
14%,IL-512,14.40%,,,,,,
14%,AZ-500,,,,,,14.40%,
14%,AR-500,,,,,,,14.40%
14%,MI-523,,,,,,,14.40%
14%,NJ-503,,,,,14.40%,,
14%,CA-600,,,,,,,14.40%
14%,NY-518,,,,,,,14.50%
14%,PA-603,14.50%,,,,,,
14%,VT-500,,,,,14.50%,,
14%,CA-508,,,,,,,14.50%
14%,FL-510,,,,,,,14.50%
14%,IL-518,,,,,,,14.50%
15%,LA-507,,,,,,14.50%,
15%,IL-519,,,,,,14.50%,
15%,NY-603,,,14.50%,,,,
15%,PA-505,,,,,,,14.50%
15%,NY-523,,,,,,14.50%,
15%,FL-503,,,,,,,14.50%
15%,PR-503,,,,,,,14.50%
15%,FL-504,,14.60%,,,,,
15%,VA-602,,,,,,14.60%,
15%,CA-501,,,,14.60%,,,
15%,IL-500,,,,,,,14.60%
15%,LA-500,,,,14.60%,,,
15%,WA-502,,,14.60%,,,,
15%,MA-506,,,,14.60%,,,
15%,MO-501,,,,,14.60%,,
15%,TX-701,,,14.60%,,,,
15%,CA-522,,,14.60%,,,,
15%,NY-606,,,14.60%,,,,
15%,UT-503,14.60%,,,,,,
15%,VA-503,,,,,,,14.60%
15%,FL-513,,,,,,14.70%,
15%,VA-508,,14.70%,,,,,
15%,CA-522,,14.70%,,,,,
15%,NY-501,,,,14.70%,,,
15%,CO-503,,,,,,,14.70%
15%,CA-509,,,,,14.70%,,
15%,CA-508,,14.70%,,,,,
15%,MO-604K,14.70%,,,,,,
15%,MI-504,,,14.70%,,,,
15%,PA-500,14.70%,,,,,,
15%,GU-500,,,,,14.80%,,
15%,VA-507,,,,,14.80%,,
15%,NC-503,,,14.80%,,,,
15%,MN-501,,,,,,14.80%,
15%,LA-507,,,,,14.80%,,
15%,IL-503,,,,14.80%,,,
15%,CA-518,,,,,,14.80%,
15%,MN-505,,,14.80%,,,,
15%,AL-505,14.80%,,,,,,
15%,CA-614,,,14.80%,,,,
15%,FL-512,,14.80%,,,,,
15%,CA-609,,14.80%,,,,,
15%,FL-602,,14.80%,,,,,
15%,NM-501,,,,14.80%,,,
15%,ID-501,,,,14.80%,,,
15%,FL-510,,14.90%,,,,,
15%,FL-520,,14.90%,,,,,
15%,SD-500,,14.90%,,,,,
15%,MD-504,,,,,,14.90%,
15%,VA-513,,,,14.90%,,,
15%,OK-505,,14.90%,,,,,
15%,MD-503,,,,,,,14.90%
15%,GA-504,,,,,14.90%,,
15%,IL-512,,,14.90%,,,,
15%,TN-512,,,,14.90%,,,
15%,CA-522,,,,14.90%,,,
15%,MD-501,,,,,,,14.90%
15%,KY-500,,,14.90%,,,,
15%,NJ-516,,,,,,14.90%,
15%,DE-500,,,,,,,14.90%
15%,CA-521,,,,,,14.90%,
15%,PA-508,,,,,14.90%,,
15%,CA-518,,,14.90%,,,,
15%,MI-511,,,,,,14.90%,
15%,CA-509,,,15.00%,,,,
15%,TX-503,,15.00%,,,,,
15%,FL-515,,,,,,15.00%,
15%,MD-510,15.00%,,,,,,
15%,TN-503,,,,,15.00%,,
15%,AL-503,,15.00%,,,,,
15%,FL-513,,,15.00%,,,,
15%,CA-613,15.00%,,,,,,
15%,CA-614,15.00%,,,,,,
15%,IA-500,,,,,,,15.00%
15%,WA-503,,15.00%,,,,,
15%,FL-506,15.00%,,,,,,
15%,MN-501,,,15.00%,,,,
15%,NC-502,,,,,15.00%,,
15%,NC-503,15.10%,,,,,,
15%,FL-518,,,,,,,15.10%
15%,FL-512,,,,15.10%,,,
15%,KS-505,,15.10%,,,,,
15%,MI-503,,,,,15.10%,,
15%,NJ-503,,,,,,15.10%,
15%,NC-501,,,,,,,15.10%
15%,WA-500,,,,15.10%,,,
15%,FL-603,,,,,,,15.10%
15%,UT-504,,,,,,,15.10%
15%,NY-603,,15.10%,,,,,
15%,FL-503,,,,,15.10%,,
15%,VA-604,,,,,,,15.10%
15%,FL-515,,,,15.10%,,,
15%,NJ-504,,,,,,15.10%,
15%,MO-606,,,,,,15.10%,
15%,AL-506,,,,,,,15.20%
15%,DC-500,,15.20%,,,,,
15%,VA-604,,,,,,15.20%,
15%,GA-508,15.20%,,,,,,
15%,SC-500,,,,15.20%,,,
15%,MA-507,,,,,,15.20%,
15%,MN-509,,15.20%,,,,,
15%,OH-504,,,,,,,15.20%
15%,CA-502,,,,15.20%,,,
15%,NY-602,15.20%,,,,,,
15%,ID-501,,,15.30%,,,,
15%,NC-502,,15.30%,,,,,
15%,DC-500,15.30%,,,,,,
15%,AL-503,,,,,15.30%,,
15%,CO-500,15.30%,,,,,,
15%,NY-523,,,,,15.30%,,
15%,VT-500,,15.30%,,,,,
15%,MD-511,15.30%,,,,,,
15%,NY-525,,,,,,15.30%,
15%,VA-603,,,15.30%,,,,
15%,CA-504,,,,,,,15.30%
15%,MA-503,15.30%,,,,,,
15%,PA-603,,,,,15.30%,,
15%,MA-503,,,,,15.30%,,
15%,PA-512,,,,,,15.40%,
15%,CA-602,,,,,15.40%,,
15%,IN-502,,,,,,15.40%,
15%,CA-520,,15.40%,,,,,
15%,TN-500,,,,,15.40%,,
15%,TN-502,,,,,,,15.40%
15%,MN-501,,,,15.40%,,,
15%,NY-601,15.40%,,,,,,
15%,HI-500,,,,,,15.40%,
15%,CA-521,,15.40%,,,,,
15%,NY-604,,,,,,15.40%,
15%,LA-502,,,,,15.40%,,
15%,NY-511,,,,,,,15.40%
15%,PA-506,15.50%,,,,,,
15%,WI-502,,,15.50%,,,,
16%,MI-511,,15.50%,,,,,
16%,MD-601,,,,,,15.50%,
16%,NC-503,,,,,15.50%,,
16%,NC-516,,,,,,,15.50%
16%,LA-507,15.50%,,,,,,
16%,MD-504,,,,,,,15.50%
16%,NY-601,,,,15.50%,,,
16%,CA-512,,,15.50%,,,,
16%,TX-611,,,,,,15.60%,
16%,AZ-500,,,15.60%,,,,
16%,WI-502,,,,,,,15.60%
16%,NJ-509,,,,15.60%,,,
16%,NY-501,,,,,,,15.60%
16%,MA-507,,15.60%,,,,,
16%,MD-503,,,,,15.60%,,
16%,CA-600,,,15.60%,,,,
16%,OK-502,,,15.60%,,,,
16%,MI-513,15.60%,,,,,,
16%,PA-510,15.60%,,,,,,
16%,CA-609,,,,,15.60%,,
16%,CA-609,,,,,,,15.60%
16%,SC-500,,15.60%,,,,,
16%,NM-501,,15.60%,,,,,
16%,OK-500,15.60%,,,,,,
16%,PA-502,15.60%,,,,,,
16%,PA-601,,15.60%,,,,,
16%,CA-604,,,,,,,15.60%
16%,NM-501,,,15.60%,,,,
16%,VA-600,,,15.60%,,,,
16%,WA-502,,,,,,,15.60%
16%,PA-603,,,,,,,15.70%
16%,MD-601,,,,,15.70%,,
16%,NJ-506,,,,,,,15.70%
16%,MD-601,,,,15.70%,,,
16%,MN-502,,,,,,,15.70%
16%,IL-515,,15.70%,,,,,
16%,AR-501,,,,,,,15.70%
16%,PA-504,,15.70%,,,,,
16%,MN-506,,,,,,,15.70%
16%,FL-513,,15.80%,,,,,
16%,ID-501,,15.80%,,,,,
16%,VA-501,,,,,15.80%,,
16%,AL-503,15.80%,,,,,,
16%,AL-506,,15.80%,,,,,
16%,MD-509,,,,15.80%,,,
16%,CA-505,,,,,,,15.80%
16%,NJ-515,,,,,15.80%,,
16%,TX-607,,,,,,15.80%,
16%,NC-509,15.80%,,,,,,
16%,NH-502,,,,,15.90%,,
16%,MI-507,,,,,,,15.90%
16%,IL-519,,,15.90%,,,,
16%,VA-600,,,,15.90%,,,
16%,PA-512,,,,,,,15.90%
16%,NY-503,15.90%,,,,,,
16%,FL-511,,,15.90%,,,,
16%,CA-505,,,15.90%,,,,
16%,CA-512,,15.90%,,,,,
16%,PA-501,,,,,,15.90%,
16%,NC-502,,,,,,15.90%,
16%,NY-600,,,,,,,15.90%
16%,VA-503,15.90%,,,,,,
16%,NM-501,,,,,,,15.90%
16%,CA-600,,,,16.00%,,,
16%,NC-504,,,,16.00%,,,
16%,CA-505,16.00%,,,,,,
16%,NY-512,16.00%,,,,,,
16%,MD-501,,,,,,16.00%,
16%,NV-502,,16.00%,,,,,
16%,TN-501,,,16.00%,,,,
16%,PA-511,,,,,,16.00%,
16%,MI-504,,,,,,,16.00%
16%,CA-600,,,,,16.00%,,
16%,NC-503,,,,,,,16.00%
16%,CA-527,,,,,16.00%,,
16%,TX-607,,,16.00%,,,,
16%,IL-514,,,,,,,16.00%
16%,CA-511,16.10%,,,,,,
16%,CA-513,16.10%,,,,,,
16%,KY-502,,16.10%,,,,,
16%,NJ-515,,,16.10%,,,,
16%,DC-500,,,16.10%,,,,
16%,VA-603,,,,,,16.10%,
16%,NE-500,,,16.10%,,,,
16%,IL-519,16.10%,,,,,,
16%,LA-503,,16.10%,,,,,
16%,NH-501,,,,,16.10%,,
16%,NM-501,,,,,16.10%,,
16%,IL-511,,,,,16.10%,,
16%,KY-502,16.10%,,,,,,
16%,GA-505,,,16.10%,,,,
16%,NC-501,,,,,,16.20%,
16%,GA-504,16.20%,,,,,,
16%,GU-500,,,,,,,16.20%
16%,MI-500,,,,,16.20%,,
16%,CA-505,,16.20%,,,,,
16%,PA-603,,,,,,16.20%,
16%,IL-511,,16.20%,,,,,
16%,NY-518,,,,,,16.20%,
16%,MA-503,,,,16.20%,,,
16%,AR-505,,,,,,,16.20%
16%,CA-614,,,,,,16.20%,
16%,FL-503,,16.20%,,,,,
16%,NY-513,,,,,,,16.20%
16%,CO-503,,,,,,16.20%,
16%,GA-507,,,,,,16.30%,
16%,NH-502,,,,,,,16.30%
16%,NY-523,,16.30%,,,,,
16%,CA-520,,,,,,,16.30%
16%,VA-508,,,,,,16.30%,
16%,CA-604,,,,16.30%,,,
16%,CA-512,,,,,,,16.30%
16%,IN-502,,,,,16.30%,,
16%,NJ-509,16.30%,,,,,,
16%,OK-507,16.30%,,,,,,
16%,FL-501,,,,16.30%,,,
16%,TN-509,,,,16.30%,,,
16%,VA-503,,,,16.30%,,,
16%,CA-501,,,,,,16.30%,
16%,NY-518,,,,16.30%,,,
16%,MO-600,,,,,,,16.30%
16%,TN-509,,,,,16.30%,,
16%,NY-503,,,,,16.30%,,
16%,SC-500,,,16.40%,,,,
16%,CA-505,,,,,,16.40%,
16%,GA-500,,,,,,,16.40%
16%,NE-500,,16.40%,,,,,
16%,NY-523,,,,16.40%,,,
16%,PA-506,,16.40%,,,,,
16%,FL-509,,,,16.40%,,,
16%,IL-511,,,,16.40%,,,
16%,PR-503,,,,,16.40%,,
16%,FL-506,,,,,,,16.40%
16%,IL-511,,,16.40%,,,,
16%,PA-600,,16.40%,,,,,
16%,NY-501,,,,,16.40%,,
16%,GA-504,,,,,,16.50%,
16%,MO-600,16.50%,,,,,,
16%,MI-500,,,,,,,16.50%
16%,MN-505,,,,,16.50%,,
17%,TX-607,,,,,16.50%,,
17%,IL-503,16.50%,,,,,,
17%,WA-502,16.50%,,,,,,
17%,FL-510,,,,,,16.50%,
17%,TN-504,,,,,,16.50%,
17%,NY-503,,,,,,16.50%,
17%,NC-502,,,16.50%,,,,
17%,SC-500,,,,,,,16.50%
17%,GA-503,,16.50%,,,,,
17%,MD-511,,,16.60%,,,,
17%,MN-506,,,,16.60%,,,
17%,TN-504,,,,16.60%,,,
17%,NC-500,,,,16.60%,,,
17%,TX-503,16.60%,,,,,,
17%,CA-508,,,,16.60%,,,
17%,FL-501,,,,,,,16.60%
17%,CA-526,,,,,,16.60%,
17%,NC-505,16.60%,,,,,,
17%,VA-604,,16.60%,,,,,
17%,CA-609,,,,16.60%,,,
17%,NY-525,,,,,,,16.60%
17%,NE-500,,,,,16.60%,,
17%,MO-501,,16.60%,,,,,
17%,CA-505,,,,,16.60%,,
